id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;2022-02-12;11804.30870833
S;Sul;2022-02-12;12765.36333333
SE;Sudeste/Centro-Oeste;2022-02-12;39633.33129167
N;Norte;2022-02-13;5584.09079167
NE;Nordeste;2022-02-13;10861.51200000
S;Sul;2022-02-13;11139.91912500
SE;Sudeste/Centro-Oeste;2022-02-13;36723.45016667
N;Norte;2022-02-14;5969.56587500
NE;Nordeste;2022-02-14;11984.96600000
S;Sul;2022-02-14;13968.59941667
SE;Sudeste/Centro-Oeste;2022-02-14;44097.19441667
N;Norte;2022-02-15;6008.99391667
NE;Nordeste;2022-02-15;12073.78454167
S;Sul;2022-02-15;14459.25758333
SE;Sudeste/Centro-Oeste;2022-02-15;45117.92675000
N;Norte;2022-02-16;6065.88312500
NE;Nordeste;2022-02-16;12106.08945833
S;Sul;2022-02-16;14668.13054167
SE;Sudeste/Centro-Oeste;2022-02-16;44657.77287500
N;Norte;2022-02-17;6082.46150000
NE;Nordeste;2022-02-17;12185.81875000
S;Sul;2022-02-17;14707.56754167
SE;Sudeste/Centro-Oeste;2022-02-17;43863.52537500
N;Norte;2022-02-18;6087.00020833
NE;Nordeste;2022-02-18;11905.93841667
S;Sul;2022-02-18;14043.86975000
SE;Sudeste/Centro-Oeste;2022-02-18;43385.83937500
N;Norte;2022-02-19;5481.77575000
NE;Nordeste;2022-02-19;11367.60925000
S;Sul;2022-02-19;12176.51279167
SE;Sudeste/Centro-Oeste;2022-02-19;39723.37133333
N;Norte;2022-02-20;5239.54329167
NE;Nordeste;2022-02-20;10683.28912500
S;Sul;2022-02-20;11406.84445833
SE;Sudeste/Centro-Oeste;2022-02-20;36760.33400000
N;Norte;2022-02-21;5814.07937500
NE;Nordeste;2022-02-21;11413.17229167
S;Sul;2022-02-21;14721.57783333
SE;Sudeste/Centro-Oeste;2022-02-21;43690.44758333
N;Norte;2022-02-22;5830.84645833
NE;Nordeste;2022-02-22;11799.01500000
S;Sul;2022-02-22;15088.18050000
SE;Sudeste/Centro-Oeste;2022-02-22;45265.65491667
N;Norte;2022-02-23;5853.30066667
NE;Nordeste;2022-02-23;11918.82416667
S;Sul;2022-02-23;14903.53866667
SE;Sudeste/Centro-Oeste;2022-02-23;45870.00212500
N;Norte;2022-02-24;5991.15020833
NE;Nordeste;2022-02-24;12021.33237500
S;Sul;2022-02-24;15048.16820833
SE;Sudeste/Centro-Oeste;2022-02-24;45666.88908333
N;Norte;2022-02-25;6023.62933333
NE;Nordeste;2022-02-25;11971.15412500
S;Sul;2022-02-25;15101.33945833
SE;Sudeste/Centro-Oeste;2022-02-25;46003.76858333
N;Norte;2022-02-26;5638.77733333
NE;Nordeste;2022-02-26;11347.29495833
