id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2024-01-27;7104.57150000
NE;Nordeste;2024-01-27;12531.60516667
S;Sul;2024-01-27;12044.58387500
SE;Sudeste/Centro-Oeste;2024-01-27;41296.46770833
N;Norte;2024-01-28;6890.67525000
NE;Nordeste;2024-01-28;11874.03837500
S;Sul;2024-01-28;10774.57245833
SE;Sudeste/Centro-Oeste;2024-01-28;38599.28908333
N;Norte;2024-01-29;7419.34312500
NE;Nordeste;2024-01-29;13200.71308333
S;Sul;2024-01-29;13961.61750000
SE;Sudeste/Centro-Oeste;2024-01-29;45468.98858333
N;Norte;2024-01-30;7580.88179167
NE;Nordeste;2024-01-30;13476.21433333
S;Sul;2024-01-30;15170.66333333
SE;Sudeste/Centro-Oeste;2024-01-30;48471.38341667
N;Norte;2024-01-31;7701.11487500
NE;Nordeste;2024-01-31;13514.50245833
S;Sul;2024-01-31;15746.21908333
SE;Sudeste/Centro-Oeste;2024-01-31;48499.53533333
N;Norte;2024-02-01;7495.90470833
NE;Nordeste;2024-02-01;13471.78633333
S;Sul;2024-02-01;16537.46783333
SE;Sudeste/Centro-Oeste;2024-02-01;46332.35483333
N;Norte;2024-02-02;7230.81375000
NE;Nordeste;2024-02-02;13569.51729167
S;Sul;2024-02-02;16187.34916667
SE;Sudeste/Centro-Oeste;2024-02-02;46179.21675000
N;Norte;2024-02-03;7089.44795833
NE;Nordeste;2024-02-03;12688.24270833
S;Sul;2024-02-03;14604.34329167
SE;Sudeste/Centro-Oeste;2024-02-03;43072.39500000
N;Norte;2024-02-04;7061.08316667
NE;Nordeste;2024-02-04;12327.98645833
S;Sul;2024-02-04;13850.24912500
SE;Sudeste/Centro-Oeste;2024-02-04;39828.76712500
N;Norte;2024-02-05;7606.80395833
NE;Nordeste;2024-02-05;13811.29895833
S;Sul;2024-02-05;17197.22233333
SE;Sudeste/Centro-Oeste;2024-02-05;46477.00487500
N;Norte;2024-02-06;7545.18950000
NE;Nordeste;2024-02-06;14042.06320833
S;Sul;2024-02-06;17854.34937500
SE;Sudeste/Centro-Oeste;2024-02-06;48579.47416667
N;Norte;2024-02-07;7736.96050000
NE;Nordeste;2024-02-07;14169.58329167
S;Sul;2024-02-07;18150.09150000
SE;Sudeste/Centro-Oeste;2024-02-07;49350.12654167
N;Norte;2024-02-08;7816.83895833
NE;Nordeste;2024-02-08;14570.94629167
S;Sul;2024-02-08;17873.15270833
SE;Sudeste/Centro-Oeste;2024-02-08;49188.91533333
N;Norte;2024-02-09;7649.52250000
NE;Nordeste;2024-02-09;14036.06108333
S;Sul;2024-02-09;18150.92829167
SE;Sudeste/Centro-Oeste;2024-02-09;49189.53558333
N;Norte;2024-02-10;7132.89829167
NE;Nordeste;2024-02-10;12497.59729167
S;Sul;2024-02-10;15712.07791667
SE;Sudeste/Centro-Oeste;2024-02-10;45133.99816667
N;Norte;2024-02-11;6654.22679167
NE;Nordeste;2024-02-11;11640.84541667
S;Sul;2024-02-11;14433.46154167
SE;Sudeste/Centro-Oeste;2024-02-11;41647.76475000
N;Norte;2024-02-12;6940.73933333
NE;Nordeste;2024-02-12;11859.61062500
S;Sul;2024-02-12;17158.31254167
SE;Sudeste/Centro-Oeste;2024-02-12;45474.98929167
N;Norte;2024-02-13;6643.53941667
NE;Nordeste;2024-02-13;12269.12620833
S;Sul;2024-02-13;16380.45650000
SE;Sudeste/Centro-Oeste;2024-02-13;46484.37287500
N;Norte;2024-02-14;7066.49008333
NE;Nordeste;2024-02-14;13072.72645833
S;Sul;2024-02-14;15315.44550000
SE;Sudeste/Centro-Oeste;2024-02-14;49026.45725000
N;Norte;2024-02-15;7513.87687500
NE;Nordeste;2024-02-15;13941.57279167
S;Sul;2024-02-15;15022.87308333
SE;Sudeste/Centro-Oeste;2024-02-15;47618.74120833
N;Norte;2024-02-16;7619.67050000
NE;Nordeste;2024-02-16;13724.32645833
S;Sul;2024-02-16;14682.94341667
SE;Sudeste/Centro-Oeste;2024-02-16;46363.42104167
N;Norte;2024-02-17;7329.05704167
NE;Nordeste;2024-02-17;13166.55529167
S;Sul;2024-02-17;13049.96162500
SE;Sudeste/Centro-Oeste;2024-02-17;43541.97558333
N;Norte;2024-02-18;6928.51645833
NE;Nordeste;2024-02-18;12482.67929167
S;Sul;2024-02-18;12063.17033333
SE;Sudeste/Centro-Oeste;2024-02-18;40370.63941667
N;Norte;2024-02-19;7480.36570833
NE;Nordeste;2024-02-19;13567.82008333
S;Sul;2024-02-19;15518.01179167
SE;Sudeste/Centro-Oeste;2024-02-19;46299.72083333
N;Norte;2024-02-20;7550.65491667
NE;Nordeste;2024-02-20;13881.06175000
S;Sul;2024-02-20;15137.55820833
SE;Sudeste/Centro-Oeste;2024-02-20;46384.98250000
N;Norte;2024-02-21;7638.32587500
NE;Nordeste;2024-02-21;13421.94766667
S;Sul;2024-02-21;15196.14379167
SE;Sudeste/Centro-Oeste;2024-02-21;45977.23991667
N;Norte;2024-02-22;7454.13900000
NE;Nordeste;2024-02-22;13354.70362500
S;Sul;2024-02-22;15701.44587500
SE;Sudeste/Centro-Oeste;2024-02-22;46874.83550000
N;Norte;2024-02-23;7446.36070833
NE;Nordeste;2024-02-23;13158.94712500
S;Sul;2024-02-23;16726.62220833
SE;Sudeste/Centro-Oeste;2024-02-23;48170.17520833
N;Norte;2024-02-24;7188.98308333
NE;Nordeste;2024-02-24;12389.11850000
S;Sul;2024-02-24;14942.71820833
SE;Sudeste/Centro-Oeste;2024-02-24;45402.46233333
N;Norte;2024-02-25;6829.40266667
NE;Nordeste;2024-02-25;11813.21270833
S;Sul;2024-02-25;12985.16179167
SE;Sudeste/Centro-Oeste;2024-02-25;42623.28820833
N;Norte;2024-02-26;7169.10295833
NE;Nordeste;2024-02-26;13024.76204167
S;Sul;2024-02-26;15571.84379167
SE;Sudeste/Centro-Oeste;2024-02-26;49635.51445833
N;Norte;2024-02-27;7305.86445833
NE;Nordeste;2024-02-27;13327.03104167
S;Sul;2024-02-27;15859.42937500
SE;Sudeste/Centro-Oeste;2024-02-27;51042.54391667
N;Norte;2024-02-28;7365.14058333
NE;Nordeste;2024-02-28;13601.08425000
S;Sul;2024-02-28;16232.65866667
SE;Sudeste/Centro-Oeste;2024-02-28;52291.22429167
N;Norte;2024-02-29;7531.22295833
NE;Nordeste;2024-02-29;13668.13029167
S;Sul;2024-02-29;16227.14612500
SE;Sudeste/Centro-Oeste;2024-02-29;52773.42141667
N;Norte;2024-03-01;7642.50725000
NE;Nordeste;2024-03-01;14116.10845833
S;Sul;2024-03-01;16015.77733333
SE;Sudeste/Centro-Oeste;2024-03-01;51747.40895833
N;Norte;2024-03-02;7175.49883333
NE;Nordeste;2024-03-02;13371.00766667
S;Sul;2024-03-02;14249.04341667
SE;Sudeste/Centro-Oeste;2024-03-02;45993.24491667
N;Norte;2024-03-03;6827.86800000
NE;Nordeste;2024-03-03;12329.47516667
S;Sul;2024-03-03;13023.61016667
SE;Sudeste/Centro-Oeste;2024-03-03;42559.98012500
N;Norte;2024-03-04;7445.21058333
NE;Nordeste;2024-03-04;13636.42237500
S;Sul;2024-03-04;15596.39804167
SE;Sudeste/Centro-Oeste;2024-03-04;49577.12287500
N;Norte;2024-03-05;7528.88887500
NE;Nordeste;2024-03-05;13554.88050000
S;Sul;2024-03-05;14557.17341667
SE;Sudeste/Centro-Oeste;2024-03-05;50691.47954167
N;Norte;2024-03-06;7728.09887500
NE;Nordeste;2024-03-06;13251.96387500
S;Sul;2024-03-06;14551.97008333
SE;Sudeste/Centro-Oeste;2024-03-06;49464.91445833
N;Norte;2024-03-07;7675.90762500
NE;Nordeste;2024-03-07;13338.40041667
S;Sul;2024-03-07;15046.26041667
SE;Sudeste/Centro-Oeste;2024-03-07;49358.57066667
N;Norte;2024-03-08;7590.40525000
NE;Nordeste;2024-03-08;13428.67350000
S;Sul;2024-03-08;15095.88116667
SE;Sudeste/Centro-Oeste;2024-03-08;49775.20375000
