id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;2023-02-23;13146.50629167
SE;Sudeste/Centro-Oeste;2023-02-23;43828.38454167
N;Norte;2023-02-24;6792.74445833
NE;Nordeste;2023-02-24;12160.33887500
S;Sul;2023-02-24;12726.85875000
SE;Sudeste/Centro-Oeste;2023-02-24;43839.55329167
N;Norte;2023-02-25;6456.64370833
NE;Nordeste;2023-02-25;11434.60787500
S;Sul;2023-02-25;11035.62733333
SE;Sudeste/Centro-Oeste;2023-02-25;40896.23145833
N;Norte;2023-02-26;6093.26845833
NE;Nordeste;2023-02-26;10670.77216667
S;Sul;2023-02-26;9914.62829167
SE;Sudeste/Centro-Oeste;2023-02-26;38595.17895833
N;Norte;2023-02-27;6704.74562500
NE;Nordeste;2023-02-27;11926.55500000
S;Sul;2023-02-27;12771.63208333
SE;Sudeste/Centro-Oeste;2023-02-27;45260.87695833
N;Norte;2023-02-28;6745.41750000
NE;Nordeste;2023-02-28;12373.99091667
S;Sul;2023-02-28;13330.27354167
SE;Sudeste/Centro-Oeste;2023-02-28;45164.76375000
N;Norte;2023-03-01;6820.50816667
NE;Nordeste;2023-03-01;12374.43145833
S;Sul;2023-03-01;13529.27237545
SE;Sudeste/Centro-Oeste;2023-03-01;44393.60866667
N;Norte;2023-03-02;6889.34575000
NE;Nordeste;2023-03-02;11933.48075000
S;Sul;2023-03-02;14316.97725111
SE;Sudeste/Centro-Oeste;2023-03-02;45038.40050000
N;Norte;2023-03-03;6877.60979167
NE;Nordeste;2023-03-03;11899.42812500
S;Sul;2023-03-03;14190.31925065
SE;Sudeste/Centro-Oeste;2023-03-03;45811.87291667
N;Norte;2023-03-04;6512.24620833
NE;Nordeste;2023-03-04;11359.44441667
S;Sul;2023-03-04;11814.62508480
SE;Sudeste/Centro-Oeste;2023-03-04;42221.58033333
N;Norte;2023-03-05;6303.12879167
NE;Nordeste;2023-03-05;10543.98483333
S;Sul;2023-03-05;10014.41645750
SE;Sudeste/Centro-Oeste;2023-03-05;38506.44687500
N;Norte;2023-03-06;6794.12954167
NE;Nordeste;2023-03-06;11614.69133333
S;Sul;2023-03-06;13139.39504119
SE;Sudeste/Centro-Oeste;2023-03-06;44351.55879167
N;Norte;2023-03-07;6656.45029167
NE;Nordeste;2023-03-07;11983.07270833
S;Sul;2023-03-07;13669.24783398
SE;Sudeste/Centro-Oeste;2023-03-07;45158.12095833
N;Norte;2023-03-08;6712.50916667
NE;Nordeste;2023-03-08;11904.43058333
S;Sul;2023-03-08;14352.80525000
SE;Sudeste/Centro-Oeste;2023-03-08;45092.17300000
N;Norte;2023-03-09;6785.44929167
NE;Nordeste;2023-03-09;12117.77529167
S;Sul;2023-03-09;14535.96349816
SE;Sudeste/Centro-Oeste;2023-03-09;45456.10054167
N;Norte;2023-03-10;6757.37808333
NE;Nordeste;2023-03-10;12133.13800000
S;Sul;2023-03-10;14083.90258388
SE;Sudeste/Centro-Oeste;2023-03-10;45181.42533333
N;Norte;2023-03-11;6518.42445833
NE;Nordeste;2023-03-11;11398.56241667
S;Sul;2023-03-11;12141.18837477
SE;Sudeste/Centro-Oeste;2023-03-11;40815.38004167
N;Norte;2023-03-12;6171.27987500
NE;Nordeste;2023-03-12;10665.20500000
S;Sul;2023-03-12;10739.32662370
SE;Sudeste/Centro-Oeste;2023-03-12;36794.28079167
N;Norte;2023-03-13;6576.50525000
NE;Nordeste;2023-03-13;11996.64891667
S;Sul;2023-03-13;14011.71341390
SE;Sudeste/Centro-Oeste;2023-03-13;42951.18616667
N;Norte;2023-03-14;6531.37075000
NE;Nordeste;2023-03-14;12182.71937500
S;Sul;2023-03-14;14453.75591517
SE;Sudeste/Centro-Oeste;2023-03-14;43485.32683333
N;Norte;2023-03-15;6543.67833333
NE;Nordeste;2023-03-15;12081.09187500
S;Sul;2023-03-15;14456.81041465
SE;Sudeste/Centro-Oeste;2023-03-15;43473.26770833
N;Norte;2023-03-16;6603.79337500
NE;Nordeste;2023-03-16;12039.54533333
S;Sul;2023-03-16;14512.34154107
SE;Sudeste/Centro-Oeste;2023-03-16;43219.22537500
N;Norte;2023-03-17;6623.28108333
NE;Nordeste;2023-03-17;12091.94575000
S;Sul;2023-03-17;14586.47866667
SE;Sudeste/Centro-Oeste;2023-03-17;42937.68925000
N;Norte;2023-03-18;6287.34670833
NE;Nordeste;2023-03-18;11524.80300000
S;Sul;2023-03-18;12509.25983384
SE;Sudeste/Centro-Oeste;2023-03-18;39870.51537500
N;Norte;2023-03-19;6209.23516667
NE;Nordeste;2023-03-19;10368.93075000
S;Sul;2023-03-19;11163.25483202
SE;Sudeste/Centro-Oeste;2023-03-19;36848.10729167
N;Norte;2023-03-20;6670.80504167
NE;Nordeste;2023-03-20;11732.09350000
S;Sul;2023-03-20;14866.34896224
SE;Sudeste/Centro-Oeste;2023-03-20;43750.82858333
N;Norte;2023-03-21;6823.92162500
NE;Nordeste;2023-03-21;11639.32133333
S;Sul;2023-03-21;15174.09395833
SE;Sudeste/Centro-Oeste;2023-03-21;44559.76520833
N;Norte;2023-03-22;6882.41116667
NE;Nordeste;2023-03-22;11221.27812500
S;Sul;2023-03-22;15147.32179139
SE;Sudeste/Centro-Oeste;2023-03-22;44560.95025000
N;Norte;2023-03-23;6801.31587500
NE;Nordeste;2023-03-23;11344.11941667
S;Sul;2023-03-23;15182.53345833
SE;Sudeste/Centro-Oeste;2023-03-23;44551.99645833
N;Norte;2023-03-24;6823.12770833
NE;Nordeste;2023-03-24;11450.61354167
S;Sul;2023-03-24;15017.82924673
SE;Sudeste/Centro-Oeste;2023-03-24;45292.26737500
N;Norte;2023-03-25;6534.18616667
NE;Nordeste;2023-03-25;10827.31970833
S;Sul;2023-03-25;12485.54187500
SE;Sudeste/Centro-Oeste;2023-03-25;41608.29620833
N;Norte;2023-03-26;6203.07516667
NE;Nordeste;2023-03-26;10041.15687500
S;Sul;2023-03-26;10427.56279167
SE;Sudeste/Centro-Oeste;2023-03-26;38709.68091667
N;Norte;2023-03-27;6845.12500000
NE;Nordeste;2023-03-27;11050.52245833
S;Sul;2023-03-27;13034.68204500
SE;Sudeste/Centro-Oeste;2023-03-27;44556.72541667
N;Norte;2023-03-28;6802.56879167
NE;Nordeste;2023-03-28;11136.33675000
